#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
213000,213.000000001,-644759.665707,301.583224608,1.00506744437,17.2
214000,214.000000001,-643803.102456,299.834129135,1.00490748348,17.2
215000,215.000000001,-643347.337914,299.882585523,1.00032121281,17.2
216000,216.000000001,-642337.166712,299.135009241,0.998404662368,17.2
217000,217.000000001,-642885.020125,300.289614159,1.0010537515,17.2
218000,218.000000001,-642848.890813,299.955966529,1.00563215037,17.2
219000,219.000000001,-644006.950107,298.692021432,1.00099801345,17.2
220000,220.000000001,-643939.525792,300.519749858,1.00301164261,17.2
221000,221.000000001,-643686.10491,299.978128135,1.00015173547,17.2
222000,222.000000001,-642447.221642,302.107665608,0.999617178805,17.2
223000,223.000000001,-643112.105347,302.504258085,1.0029076444,17.2
224000,224.000000001,-644674.049828,300.659335024,1.00469543796,17.2
225000,225.000000001,-643295.456571,301.314813591,1.00522854237,17.2
226000,226.000000001,-642978.525354,299.685246146,1.00383934606,17.2
227000,227.000000001,-644845.12555,302.003964142,1.003301015,17.2
228000,228.000000001,-644177.122257,296.642000179,1.00076310274,17.2
229000,229.000000001,-644038.440548,300.177814485,1.0003625308,17.2
230000,230.000000001,-644519.068406,298.180582424,1.00261880774,17.2
231000,231.000000001,-644168.070583,299.800855467,1.0029262296,17.2
232000,232.000000001,-644310.970007,300.682055254,1.00367566424,17.2
233000,233.000000001,-643157.885867,299.047136274,1.00044429466,17.2
234000,234.000000001,-642967.587672,300.127463811,1.00145508455,17.2
235000,235.000000001,-644477.52901,300.111851055,1.00430731235,17.2
236000,236.000000001,-643123.773995,301.439462621,1.00604890962,17.2
237000,237.000000001,-643807.616455,299.726819454,1.0026390261,17.2
238000,238.000000001,-644134.619913,300.871796831,1.00244239891,17.2
239000,239.000000001,-641949.692137,300.921932258,1.00399616591,17.2
240000,240.000000001,-642826.815039,301.755807173,0.997326437117,17.2
241000,241.000000001,-642600.050605,298.814832613,0.999198741257,17.2
242000,242.000000001,-643440.482694,300.179572464,1.00314507448,17.2
243000,243.000000001,-643944.832567,299.353621013,1.00428994172,17.2
244000,244.000000001,-643129.888997,300.578726933,1.00149157586,17.2
245000,245.000000001,-643638.844189,300.979218895,1.00419803679,17.2
246000,246.000000001,-642342.808549,298.653378213,1.00238919578,17.2
247000,247.000000001,-643758.952894,299.745900386,1.00640354216,17.2
248000,248.000000001,-644227.020207,301.939153497,1.00179865492,17.2
249000,249.000000001,-643705.486253,297.981821207,1.00346655134,17.2
250000,250.000000001,-652654.342207,298.846018049,1.0057436759,17.2
251000,251.000000001,-643275.584737,298.242836218,1.00498825551,17.2
252000,252.000000001,-642648.802429,300.091961772,1.00333305152,17.2
253000,253.000000001,-643567.241941,300.205645184,0.998759803775,17.2
254000,254.000000001,-643345.973296,298.765421031,0.998973484102,17.2
255000,255.000000001,-643586.913665,299.709406862,1.00099641596,17.2
256000,256.000000001,-645135.472466,301.097302006,1.00550511323,17.2
257000,257.000000001,-643981.168654,299.944043539,1.00416391183,17.2
258000,258.000000001,-643021.712564,298.546313643,1.00082767414,17.2
259000,259.000000001,-643255.011651,299.402032672,1.00318954001,17.2
260000,260.000000001,-643099.482681,296.869630706,1.0043109219,17.2
261000,261.000000001,-642935.14416,303.125187077,1.00239489086,17.2
262000,262.000000001,-643314.651023,299.134573957,1.00184679025,17.2
263000,263.000000001,-643461.943249,300.633492885,1.00272855642,17.2
264000,264.000000001,-643570.781796,300.514975268,1.00063790818,17.2
265000,265.000000001,-642924.277429,300.32672311,1.00375437732,17.2
266000,266.000000001,-642302.808962,300.506292871,1.00423694872,17.2
267000,267.000000001,-643223.789564,300.205045294,1.0026816821,17.2
268000,268.000000001,-643594.585359,300.597068005,1.00327852913,17.2
269000,269.000000001,-643261.182934,299.542979181,1.00443138824,17.2
270000,270.000000001,-643150.09459,299.074933094,1.00137667713,17.2
271000,271.000000001,-641936.611221,299.104446107,0.997349895131,17.2
272000,272.0,-642256.028811,299.822325577,0.999161537995,17.2
273000,273.0,-643307.9879,300.697819791,1.00037924089,17.2
274000,274.0,-642870.332187,300.063341552,1.00127114304,17.2
275000,275.0,-644301.982608,298.523378307,1.00289198179,17.2
276000,276.0,-644223.346816,301.433475692,1.00358148572,17.2
277000,277.0,-643700.88731,299.557871434,1.00512891731,17.2
278000,278.0,-644279.068612,299.481727071,1.00430844073,17.2
279000,279.0,-644263.125551,299.990218553,1.00689951006,17.2
280000,280.0,-645246.341334,303.656709139,1.00767400031,17.2
281000,281.0,-643043.334515,299.11170924,1.00604992917,17.2
282000,282.0,-642879.191208,299.573590462,1.00286857593,17.2
283000,283.0,-643340.426122,301.254852435,1.00171455151,17.2
284000,284.0,-643079.999985,299.615514215,1.00292847197,17.2
285000,285.0,-643527.256553,299.755638822,1.00301619999,17.2
286000,286.0,-644485.959808,299.773804228,0.998783829557,17.2
287000,287.0,-643445.628796,300.054991456,1.0007610952,17.2
288000,288.0,-642981.183153,298.436078728,1.00087370225,17.2
289000,289.0,-644969.809808,300.744626598,0.998172962023,17.2
290000,290.0,-642764.216522,301.223471866,0.998345228525,17.2
291000,291.0,-642945.697797,300.359338599,1.00228814412,17.2
292000,292.0,-645196.422397,299.598160097,1.00380048186,17.2
293000,293.0,-644603.629428,298.039320211,1.00105291944,17.2
294000,294.0,-644436.44179,300.958239562,1.00381961912,17.2
295000,295.0,-643868.106388,301.410815484,1.0023271358,17.2
296000,296.0,-642966.869664,301.943854574,0.999786342551,17.2
297000,297.0,-643239.20781,300.45383534,1.00475586139,17.2
298000,298.0,-643541.557152,302.692972891,1.00176257459,17.2
299000,299.0,-643146.841921,302.542596844,1.00436705289,17.2
300000,300.0,-644480.390648,301.74128209,1.00535439096,17.2
301000,301.0,-643303.413634,298.449015714,1.003295565,17.2
302000,302.0,-643700.365658,301.136987603,1.00544532932,17.2
303000,303.0,-643993.075266,297.734281025,1.00577801327,17.2
304000,304.0,-652972.687361,300.995667303,1.00274889003,17.2
305000,305.0,-642378.683821,300.726793487,1.00294355211,17.2
306000,306.0,-641049.600575,301.595829362,1.00469114392,17.2
307000,307.0,-641129.071921,300.054008158,1.00161344825,17.2
308000,308.0,-642233.598786,299.410203501,1.00419537538,17.2
309000,309.0,-643623.920093,300.696972839,1.00178774999,17.2
310000,310.0,-642371.577184,300.509225576,0.999129971856,17.2
311000,311.0,-642295.645727,299.339822144,1.00196289056,17.2
312000,312.0,-643647.268724,299.888385496,1.00107187774,17.2
313000,313.0,-641722.504799,299.202469802,1.0004411139,17.2
314000,313.999999999,-643663.807248,299.285874021,0.999839581277,17.2
315000,314.999999999,-643291.030586,300.90061231,1.00315016434,17.2
316000,315.999999999,-643098.732825,298.983137825,1.00078258256,17.2
317000,316.999999999,-644721.133683,302.701156289,1.00326096863,17.2
318000,317.999999999,-643475.807275,301.681685128,1.00048111046,17.2
319000,318.999999999,-642032.229876,301.649168438,1.00182337947,17.2
320000,319.999999999,-642861.980032,300.239051304,1.00283152527,17.2
321000,320.999999999,-643939.400202,298.110924273,1.00219866852,17.2
322000,321.999999999,-643019.331423,300.525076891,1.00033601708,17.2
323000,322.999999999,-643608.595226,300.313105732,1.00074089612,17.2
324000,323.999999999,-643273.831992,297.136233256,1.00268312725,17.2
325000,324.999999999,-644145.431992,299.800460238,1.0039130807,17.2
326000,325.999999999,-644728.634358,301.304330289,1.00428103512,17.2
327000,326.999999999,-644840.455527,299.739512639,1.00298528835,17.2
328000,327.999999999,-643624.026548,301.88254934,1.00392440917,17.2
329000,328.999999999,-645360.130706,300.995877478,1.00360750697,17.2
330000,329.999999999,-642605.287115,299.105835863,1.00111831454,17.2
331000,330.999999999,-642310.173682,299.447966455,1.00138517147,17.2
332000,331.999999999,-642044.451001,300.144485014,1.00316459792,17.2
333000,332.999999999,-641558.166075,299.808555466,1.00060583647,17.2
334000,333.999999999,-643078.817147,299.440110753,1.00554136349,17.2
335000,334.999999999,-643232.972077,298.738242579,1.005195778,17.2
336000,335.999999999,-642196.342091,299.013014192,1.00294432887,17.2
337000,336.999999999,-642849.518642,300.452009547,1.00298972218,17.2
338000,337.999999999,-642908.497403,299.648568922,1.00104112753,17.2
339000,338.999999999,-643217.169037,298.995078083,1.00608615476,17.2
340000,339.999999999,-641704.699646,300.918710044,0.999478761804,17.1
341000,340.999999999,-643670.908583,300.639623393,1.00313542283,17.1
342000,341.999999999,-643569.802953,299.831593848,1.00590976035,17.1
343000,342.999999999,-643004.732406,300.768767763,1.00592442197,17.1
344000,343.999999999,-642841.102618,300.771716613,1.0031982473,17.1
345000,344.999999999,-642549.971859,299.887777906,1.00439790309,17.1
346000,345.999999999,-642360.519162,301.118852752,1.00332674468,17.1
347000,346.999999999,-643583.119436,299.767137728,1.00515048536,17.1
348000,347.999999999,-642548.662824,300.828796066,1.00264009268,17.1
349000,348.999999999,-643481.292452,300.503457375,1.00401642105,17.1
350000,349.999999999,-643202.298288,299.344574534,1.00166734976,17.1
351000,350.999999999,-642783.683003,301.453991957,0.999801053403,17.1
352000,351.999999999,-644020.044912,302.635038276,1.00205095872,17.1
353000,352.999999999,-642518.929351,299.739798295,1.0014771427,17.1
354000,353.999999999,-642198.757222,299.647337472,0.998252328333,17.1
355000,354.999999999,-643097.63903,299.034433026,1.00159415536,17.1
356000,355.999999998,-642782.542391,301.319766622,1.00266222305,17.1
357000,356.999999998,-642449.080608,301.445479114,1.00053700345,17.1
358000,357.999999998,-643527.96708,303.643223327,1.00177684348,17.1
359000,358.999999998,-642993.707036,300.511837422,1.00144502292,17.1
360000,359.999999998,-643288.515417,299.326479054,1.0003888523,17.1
361000,360.999999998,-644608.423636,301.479838221,1.0052083897,17.1
362000,361.999999998,-644247.998386,300.541492961,1.00511592142,17.1
363000,362.999999998,-643624.301195,301.514282557,1.00563985381,17.1
364000,363.999999998,-643961.521464,301.677412921,1.00423395021,17.1
365000,364.999999998,-643987.357084,302.216808181,1.00447298343,17.1
366000,365.999999998,-642037.345103,300.470101183,1.00305228191,17.1
367000,366.999999998,-643341.662841,301.708414577,1.00594584818,17.1
368000,367.999999998,-641420.514778,299.667887357,1.00214805073,17.1
369000,368.999999998,-642959.885104,301.679229319,1.0051674117,17.1
370000,369.999999998,-643262.886354,300.458063551,1.00632593924,17.1
371000,370.999999998,-643111.00239,300.437009256,1.00341049943,17.1
372000,371.999999998,-643677.269172,301.737562789,1.00286281927,17.1
373000,372.999999998,-643516.321564,300.368933146,1.00118263694,17.1
374000,373.999999998,-644274.160503,301.28091602,1.00784820396,17.1
375000,374.999999998,-644301.63315,300.199498425,1.00672468932,17.1
376000,375.999999998,-643491.621628,298.802532563,1.00322459418,17.1
377000,376.999999998,-643000.932272,301.69530204,1.00136889263,17.1
378000,377.999999998,-644157.268356,299.957830719,1.0040962004,17.1
379000,378.999999998,-642700.04957,298.380106352,1.00179038014,17.1
380000,379.999999998,-643467.607854,300.703704159,1.00283671864,17.1
381000,380.999999998,-643887.991583,300.888784777,1.00213113042,17.1
382000,381.999999998,-644312.825971,300.080955518,1.00426984753,17.1
383000,382.999999998,-642707.112896,300.592178026,1.0039665632,17.1
384000,383.999999998,-643303.3849,300.470325023,1.00054996063,17.1
385000,384.999999998,-645412.418208,300.885824706,1.00343481118,17.1
386000,385.999999998,-644559.672708,300.245159029,1.00433493322,17.1
387000,386.999999998,-644696.857336,297.813531037,1.00570009047,17.1
388000,387.999999998,-643460.571843,299.83770213,1.00537655799,17.1
389000,388.999999998,-643865.427669,300.165727437,1.00188557689,17.1
390000,389.999999998,-644127.81324,301.505869338,1.00250615257,17.1
391000,390.999999998,-643828.672324,299.108102539,1.00307361037,17.1
392000,391.999999998,-643062.627119,300.014697852,1.0056670343,17.1
393000,392.999999998,-644465.573099,299.613620535,1.00686857821,17.1
394000,393.999999998,-643567.200172,300.232430066,1.00489823582,17.1
395000,394.999999998,-643972.53727,299.791186237,1.00030021891,17.1
396000,395.999999998,-643211.744394,301.346414803,1.00226865058,17.1
397000,396.999999998,-643149.426931,301.003843807,1.0034794369,17.1
398000,397.999999998,-643066.20098,299.953592102,1.00403859164,17.1
399000,398.999999997,-644565.183597,300.330379589,1.00012943229,17.1
400000,399.999999997,-643450.496614,300.730429393,1.00226823809,17.1
401000,400.999999997,-643388.973682,299.080778155,1.00326718605,17.1
402000,401.999999997,-643785.804365,302.87517255,1.00536079907,17.1
403000,402.999999997,-643167.453816,298.157153694,1.00291848654,17.1
404000,403.999999997,-644404.719402,300.855328583,1.0021617743,17.1
405000,404.999999997,-643288.871588,300.756574921,1.00471701439,17.1
406000,405.999999997,-643578.573508,299.838739041,1.00301531465,17.1
407000,406.999999997,-644529.732334,299.279042467,1.00474811974,17.1
408000,407.999999997,-644295.636102,298.960296631,1.00135189537,17.1
409000,408.999999997,-644072.002733,298.153547501,1.00046973351,17.1
410000,409.999999997,-644424.07398,299.946045208,1.00401221751,17.1
411000,410.999999997,-643596.860639,299.147291771,0.999572735102,17.1
412000,411.999999997,-644141.823404,298.918240556,0.998813509213,17.1
413000,412.999999997,-643752.339805,297.264010571,1.00197007929,17.1
414000,413.999999997,-641899.38289,300.847453209,1.00219387127,17.1
415000,414.999999997,-642829.365068,300.105611225,1.0027421969,17.1
416000,415.999999997,-643605.545913,297.636137693,1.00290577429,17.1
417000,416.999999997,-642842.282296,301.34455529,1.00413131087,17.1
418000,417.999999997,-643228.326717,300.101947879,1.00216585031,17.1
419000,418.999999997,-643255.01986,298.721031833,1.00143250685,17.1
420000,419.999999997,-643114.725448,298.458064968,1.00287045279,17.1
421000,420.999999997,-643177.604717,299.630773456,1.00231380284,17.1
422000,421.999999997,-642762.539631,299.486961445,0.998683948191,17.1
423000,422.999999997,-642108.265656,298.609837214,1.00556031143,17.1
424000,423.999999997,-643918.314388,300.264273874,1.00812685145,17.1
425000,424.999999997,-642559.467552,300.125934978,1.00155416045,17.1
426000,425.999999997,-642116.57244,298.280439566,1.00272095697,17.1
427000,426.999999997,-643051.999272,302.04898048,1.00492304203,17.1
428000,427.999999997,-643178.294989,301.732696865,1.00303793813,17.1
429000,428.999999997,-643000.612849,303.574286822,1.0012931312,17.1
430000,429.999999997,-644181.977068,298.244144455,1.00136330688,17.1
431000,430.999999997,-643116.832169,299.450164158,1.00022491884,17.1
432000,431.999999997,-644171.379896,299.533278746,0.999906156459,17.1
433000,432.999999997,-644378.21489,302.056747878,0.998643915329,17.1
434000,433.999999997,-644583.625699,300.319818639,1.00030892692,17.1
435000,434.999999997,-643522.978799,301.304051164,0.99842114009,17.1
436000,435.999999997,-643978.215173,300.429729256,1.00221151637,17.1
437000,436.999999997,-643902.77875,300.162878546,0.999847837247,17.1
438000,437.999999997,-642509.176681,298.218572296,1.00122501738,17.1
439000,438.999999997,-643202.754936,298.906546351,1.00146537526,17.1
440000,439.999999997,-641919.859049,301.610548906,0.999610428899,17.1
441000,440.999999996,-643497.150915,299.148708897,1.00262234449,17.1
442000,441.999999996,-644259.893074,300.896268194,1.004670858,17.1
443000,442.999999996,-643923.036471,299.410695619,1.00330886976,17.1
444000,443.999999996,-642617.136206,297.696873524,1.00016386893,17.1
445000,444.999999996,-643230.606656,301.337187842,1.00071939399,17.1
446000,445.999999996,-642611.271707,299.726475684,0.999126617104,17.1
447000,446.999999996,-643477.048356,299.558603139,0.999162353692,17.1
448000,447.999999996,-641532.687571,299.795968366,0.998234746043,17.1
449000,448.999999996,-643908.267132,298.405416918,1.00290361681,17.1
450000,449.999999996,-644339.453203,298.423646359,1.00386294613,17.1
451000,450.999999996,-643087.925125,299.132433198,0.999375808037,17.1
452000,451.999999996,-643534.557477,300.321487317,1.00267232754,17.1
453000,452.999999996,-642426.977858,300.181278427,1.00283828897,17.1
454000,453.999999996,-643775.670438,299.925440538,1.00580048259,17.1
455000,454.999999996,-643551.015296,300.024435562,1.00003729051,17.1
456000,455.999999996,-643722.561809,299.128614646,1.00450411315,17.1
457000,456.999999996,-643120.384801,299.11248339,1.00250277192,17.1
458000,457.999999996,-643682.402697,301.002972479,1.00200987224,17.1
459000,458.999999996,-643995.517947,299.213514421,1.00251876046,17.1
460000,459.999999996,-643312.200007,300.066910132,0.999563395923,17.1
461000,460.999999996,-643229.882284,300.792430921,1.0005422912,17.1
462000,461.999999996,-642756.050181,297.670148415,1.00105675081,17.1
463000,462.999999996,-643299.626259,298.856318995,1.00232847666,17.1
464000,463.999999996,-642766.284443,299.740216507,1.00308070477,17.1
465000,464.999999996,-642002.419552,300.262348383,1.0000489279,17.1
466000,465.999999996,-643146.794056,302.451489807,1.00130058533,17.1
467000,466.999999996,-643264.686937,301.351424016,1.00277084975,17.1
468000,467.999999996,-642090.525049,302.027649802,1.00262860138,17.1
469000,468.999999996,-643037.848834,301.552440672,1.00521834237,17.1
470000,469.999999996,-642383.557207,301.536569337,1.00213644388,17.1
471000,470.999999996,-642562.259302,300.908829387,1.0023893485,17.1
472000,471.999999996,-644110.68158,302.06227068,1.00515449848,17.1
473000,472.999999996,-642325.535242,300.599620522,1.00335807094,17.1
474000,473.999999996,-642279.587124,301.934982536,0.999210226268,17.1
475000,474.999999996,-642759.551426,299.969466869,0.998874793377,17.1
476000,475.999999996,-643426.030431,303.089917063,0.998786842764,17.1
477000,476.999999996,-643626.76231,302.111413479,1.00072463678,17.1
478000,477.999999996,-642307.300902,300.065917866,0.999887654567,17.1
479000,478.999999996,-642899.40753,299.504437302,0.999892504629,17.1
480000,479.999999996,-642790.822096,299.929969959,0.998847643299,17.1
